"ID_UNIDADE_OPERACIONAL","NM_UNIDADE_OPERACIONAL","ID_ENTIDADE","DS_COMPLEMENTO","CD_OPERACIONAL","ID_UNIDADE_OPERACIONAL_PAI","FL_CRIACAO_BO","FL_CRIACAO_BOF","FL_CRIACAO_BOI","FL_CRIACAO_IP","FL_TREINAMENTO","ID_PONTO_REFERENCIA"
92,DELEGACIA DE POLÍCIA DA 002ª CIRCUNSCRIÇÃO - BOA VISTA - DP2ªCIRC DIM/1ªDESEC,1,DP DE BOA VISTA,DP2ªCIRC DIM/1ªDESEC,32,S,S,N,N,N,
93,DELEGACIA DE POLÍCIA DA 003ª CIRCUNSCRIÇÃO - JOANA BEZERRA - DP3ªCIRC DIM/1ªDESEC,1,DP DE JOANA BEZERRA,DP3ªCIRC DIM/1ªDESEC,32,S,N,N,N,N,
94,DELEGACIA DE POLÍCIA DA 004ª CIRCUNSCRIÇÃO - ESPINHEIRO - DP4ªCIRC DIM/2ªDESEC,1,DP DE ESPINHEIRO,DP4ªCIRC DIM/2ªDESEC,33,S,S,N,N,N,
95,DELEGACIA DE POLÍCIA DA 005ª CIRCUNSCRIÇÃO - CASA AMARELA       -       DP5ªCIRC DIM/5ªDESEC,1,DP DE CASA AMARELA,DP5ªCIRC ,33,S,S,N,N,N,
96,DELEGACIA DE POLÍCIA DA 006ª CIRCUNSCRIÇÃO - CORDEIRO - DP6ªCIRC DIM/2ªDESEC,1,DP DE CORDEIRO,DP6ªCIRC DIM/2ªDESEC,33,S,S,N,N,N,
97,DELEGACIA DE POLÍCIA DA 007ª CIRCUNSCRIÇÃO - BOA VIAGEM - DP7ªCIRC DIM/3ªDESEC,1,DP DE BOA VIAGEM,DP7ªCIRC DIM/3ªDESEC,34,S,S,N,N,N,
98,DELEGACIA DE POLÍCIA DA 008ª CIRCUNSCRIÇÃO - JORDÃO - DP8ªCIRC DIM/3ªDESEC,1,DP DE JORDAO,DP8ªCIRC DIM/3ªDESEC,34,S,S,N,N,N,
99,DELEGACIA DE POLÍCIA DA 009ª CIRCUNSCRIÇÃO - IPSEP - DP9ªCIRC DIM/3ªDESEC,1,DP DE IPSEP,DP9ªCIRC DIM/3ªDESEC,34,S,S,N,N,N,
100,DELEGACIA DE POLÍCIA DA 010ª CIRCUNSCRIÇÃO - IBURA    -          DP10ªCIRC DIM/3ªDESEC,1,DP DE IBURA,DP10ªCIRC DIM/3ªDESEC,34,S,S,N,N,N,
101,DELEGACIA DE POLÍCIA DA 011ª CIRCUNSCRIÇÃO - AFOGADOS   -       DP11ªCIRC DIM/4ªDESEC,1,DP DE AFOGADOS,DP11ªCIRC DIM/4ªDESEC,35,S,S,N,N,N,
102,DELEGACIA DE POLÍCIA DA 012ª CIRCUNSCRIÇÃO - JARDIM SÃO PAULO      -         DP12ªCIRC DIM/4ªDESEC,1,DP DE TEJIPIO,DP12ªCIRC ,35,S,S,N,N,N,
103,DELEGACIA DE POLÍCIA DA 013ª CIRCUNSCRIÇÃO - MUSTARDINHA - DP13ªCIRC  DIM/4ªDESEC,1,DP DE MUSTARDINHA,DP13ªCIRC ,35,S,S,N,N,N,
104,DELEGACIA DE POLÍCIA DA 014ª CIRCUNSCRIÇÃO - VÁRZEA           -        DP14ªCIRC DIM/4ªDESEC,1,DP DE VARZEA,DP14ªCIRC ,35,S,S,N,N,N,
105,DELEGACIA DE POLÍCIA DA 015ª CIRCUNSCRIÇÃO - ALTO DO PASCOAL       -       DIM/5ªDESEC,1,DP DE ALTO PASCOAL,DP15ªCIRC ,36,S,S,N,N,N,
106,DELEGACIA DE POLÍCIA DA 016ª CIRCUNSCRIÇÃO - ÁGUA FRIA     -     DP16ªCIRC   DIM/2ªDESEC,1,DP DE AGUA FRIA,DP16ªCIRC DIM/2ªDESEC,33,S,S,N,N,N,
107,DELEGACIA DE POLÍCIA DA 017ª CIRCUNSCRIÇÃO - VASCO DA GAMA       -      DP17ªCIRC   DIM/5ªDESEC,1,DP DE VASCO DA GAMA,DP17ªCIRC,36,S,S,N,N,N,
108,DELEGACIA DE POLÍCIA DA 018ª CIRCUNSCRIÇÃO - MACAXEIRA      -       DP18ªCIRC   DIM/5ªDESEC,1,DP DE MACAXEIRA,DP18ªCIRC,36,S,S,N,N,N,
109,DELEGACIA DE POLÍCIA DA 019ª CIRCUNSCRIÇÃO - PRAZERES       -       DP19ªCIRC   DIM/6ªDESEC,1,DP DE PRAZERES,DP19ªCIRC,37,S,S,N,N,N,
110,DELEGACIA DE POLÍCIA DA 020ª CIRCUNSCRIÇÃO - JABOATÃO DOS GUARARAPES  -  DP20ªCIRC DIM/6ªDESEC,1,DP DE JABOATAO,DP20ªCIRC,37,S,S,N,N,N,
111,DELEGACIA DE POLÍCIA DA 021ª CIRCUNSCRIÇÃO - MORENO     -    DP21ªCIRC  DIM/6ªDESEC,1,DP DE MORENO,DP21ªCIRC,37,S,S,N,N,N,
